target_id	length	eff_length	est_counts	tpm
ENST00000486629	798	599	0	0
ENST00000431809	1745	1546	0	0
ENST00000397582	1731	1532	450.024	257.037
ENST00000397583	2017	1818	21.1502	10.1798
ENST00000414138	1679	1480	0	0
ENST00000454668	1450	1251	62.7333	43.8793
ENST00000528736	473	274	4.0924	13.0691
ENST00000531112	810	611	0	0
ENST00000416188	5278	5079	229.531	39.5441
ENST00000264555	5539	5340	746.054	122.25
ENST00000534320	5178	4979	4.23261e-07	7.4385e-08
ENST00000413872	5224	5025	244.312	42.543
ENST00000533464	5218	5019	609.104	106.192
ENST00000528413	1554	1355	90.0173	58.1307
ENST00000397566	2051	1852	349.298	165.035
ENST00000348655	1807	1608	19.0385	10.3601
ENST00000525445	1923	1724	2574.6	1306.75
ENST00000533182	1776	1577	324.75	180.193
ENST00000397570	1943	1744	208.58	104.652
ENST00000469048	1596	1397	0.198574	0.124378
ENST00000330243	1992	1793	134.242	65.5128
ENST00000532326	1604	1405	79.6028	49.576
ENST00000532788	1019	820	36.7099	39.1732
ENST00000649187	745	546	49.1937	78.8381
ENST00000647801	891	692	15.6447	19.7824
ENST00000533190	806	607	15.1279	21.8076
ENST00000358353	3316	3117	0	0
ENST00000397542	3359	3160	0	0
ENST00000531177	2816	2617	0	0
ENST00000349570	2318	2119	1.27272	0.525559
ENST00000674088	2953	2754	0	0
ENST00000526077	625	426	0	0
ENST00000534311	550	351	2.02395	5.04558
ENST00000531088	496	297	2.70333	7.96457
ENST00000176195	526	327	4	10.7036
ENST00000176183	1399	1200	1	0.729185
ENST00000527170	1623	1424	78.686	48.3512
ENST00000382409	2190	1991	437.939	192.469
ENST00000685854	2314	2115	37.0212	15.3165
ENST00000683307	2267	2068	21.8354	9.23909
ENST00000690068	1866	1667	71.9069	37.7445
ENST00000692634	1739	1540	0	0
ENST00000687329	2331	2132	8.81572	3.61818
ENST00000686001	2066	1867	0	0
ENST00000689835	1778	1579	10.8867	6.033
ENST00000530813	1614	1415	0	0
ENST00000529717	705	506	6.90909	11.9478
ENST00000524763	580	381	7.23042	16.6057
ENST00000527199	540	341	1.91246	4.90745
ENST00000533256	3266	3067	0	0
ENST00000614442	3188	2989	0	0
ENST00000534755	474	275	0	0
ENST00000650127	2554	2355	0	0
ENST00000526909	3844	3645	11.3509	2.72492
ENST00000318562	3030	2831	149.45	46.1929
ENST00000533500	587	388	0	0
ENST00000531348	582	383	0	0
ENST00000530636	2469	2270	0	0
ENST00000526198	2289	2090	0	0
ENST00000528770	2233	2034	168.056	72.2973
ENST00000530452	704	505	0	0
ENST00000608174	800	601	5.35636	7.79856
ENST00000397512	1572	1373	13.3583	8.51336
ENST00000526170	1047	848	4.41225	4.55285
ENST00000488769	669	470	21.8526	40.684
ENST00000397510	1423	1224	131.02	93.6649
ENST00000528070	856	657	3.33034	4.4355
ENST00000528097	1231	1032	1061.9	900.378
ENST00000530440	710	511	0	0
ENST00000319006	1199	1000	2483.77	2173.35
ENST00000465313	446	247	17.2372	61.0646
ENST00000528309	510	311	1.01951	2.86848
ENST00000397472	790	591	0	0
ENST00000319863	4363	4164	1015.81	213.462
ENST00000354286	3973	3774	1.57122e-07	3.64297e-08
ENST00000526650	457	258	0	0
ENST00000526325	756	557	11.7264	18.4217
ENST00000524550	995	796	20.0344	22.0233
ENST00000534603	863	664	19.1736	25.267
ENST00000330106	1605	1406	34	21.1599
ENST00000320230	2796	2597	129.356	43.5846
ENST00000628067	2640	2441	363.165	130.183
ENST00000531214	1790	1591	0	0
ENST00000481290	1108	909	0	0
ENST00000627843	1021	822	0	0
ENST00000531437	802	603	0	0
ENST00000625419	816	617	0	0
ENST00000532484	839	640	0	0
ENST00000528606	741	542	0	0
ENST00000529351	1079	880	0	0
ENST00000533385	746	547	0	0
ENST00000531534	824	625	0	0
ENST00000531514	641	442	4.61373	9.13375
ENST00000527723	666	467	0	0
ENST00000526152	565	366	0	0
ENST00000527734	583	384	0	0
ENST00000625752	709	510	0	0
ENST00000456706	606	407	0	0
ENST00000528936	569	370	0	0
ENST00000629634	579	380	0	0
ENST00000529066	558	359	0	0
ENST00000530360	736	537	5.86538	9.55742
ENST00000678030	1680	1481	30	17.725
ENST00000525028	3175	2976	34.3926	10.1123
ENST00000524486	3917	3718	247.239	58.1871
ENST00000411829	2886	2687	14.8259	4.82805
ENST00000347755	2984	2785	350.614	110.16
ENST00000531286	1937	1738	52.242	26.302
ENST00000534649	3108	2909	37.6871	11.3362
ENST00000321153	462	263	22343.9	74340.1
ENST00000530797	637	438	463.309	925.584
ENST00000530398	313	114	74.7413	573.686
ENST00000336615	2416	2217	556	219.446
ENST00000528315	575	376	0	0
ENST00000533803	742	543	0	0
ENST00000527089	824	625	5.96954	8.35756
ENST00000530183	530	331	0.954556	2.52344
ENST00000528542	1792	1593	0	0
ENST00000525077	2166	1967	20.1243	8.95233
ENST00000450448	1663	1464	22.9516	13.718
ENST00000524748	980	781	17.728	19.8623
ENST00000397420	1545	1346	357.779	232.589
ENST00000397421	1486	1287	89.4489	60.8157
ENST00000322008	1545	1346	1.05848	0.688109
ENST00000525718	534	335	0	0
ENST00000529810	608	409	0	0
ENST00000526693	771	572	0	0
ENST00000525333	561	362	0	0
ENST00000527341	797	598	0	0
ENST00000530726	1407	1208	97.578	70.6812
ENST00000528011	1425	1226	0	0
ENST00000528867	545	346	0	0
ENST00000530320	648	449	0	0
ENST00000526439	713	514	6.77054	11.526
ENST00000534030	585	386	602.21	1365.15
ENST00000322028	876	677	406.427	525.307
ENST00000397411	1025	826	0	0
ENST00000397396	1332	1133	0	0
ENST00000397397	1379	1180	177.931	131.944
ENST00000397408	1430	1231	34.7283	24.6856
ENST00000530404	818	619	0	0
ENST00000525334	860	661	3.82926	5.06912
ENST00000397406	1426	1227	0	0
ENST00000409543	1031	832	0.360864	0.379524
ENST00000525201	834	635	23.1505	31.9012
ENST00000397404	1462	1263	0	0
ENST00000532375	518	319	0	0
ENST00000346501	882	683	0	0
ENST00000409531	1339	1140	0	0
ENST00000527644	1687	1488	0	0
ENST00000323578	3260	3061	32.1048	9.17754
ENST00000454838	3255	3056	77.8828	22.3001
ENST00000449825	3537	3338	0	0
ENST00000532909	619	420	0	0
ENST00000529539	602	403	0	0
ENST00000534207	1171	972	16.1865	14.5715
ENST00000429789	1289	1090	169.855	136.355
ENST00000528581	1431	1232	0.0202635	0.0143921
ENST00000436108	1477	1278	354.676	242.84
ENST00000528521	323	124	0	0
ENST00000531859	834	635	0	0
ENST00000534254	1019	820	0	0
ENST00000528426	991	792	0	0
ENST00000533056	752	553	0	0
ENST00000533059	578	379	0	0
ENST00000530939	571	372	0	0
ENST00000525225	523	324	0	0
ENST00000525840	438	239	2.27513	8.32968
ENST00000528154	594	395	0	0
ENST00000529818	804	605	1.89893e-05	2.74646e-05
ENST00000332231	4656	4457	21.4043	4.20222
ENST00000534328	1163	964	0	0
ENST00000448903	4587	4388	150.998	30.1109
ENST00000528815	3072	2873	617.861	188.18
ENST00000687792	4385	4186	0	0
ENST00000693238	5106	4907	24.2643	4.32683
ENST00000687890	4376	4177	148.184	31.0425
ENST00000528195	760	561	0	0
ENST00000531548	838	639	0	0
ENST00000534485	790	591	7.77371	11.5096
ENST00000527024	907	708	0	0
ENST00000526753	863	664	0	0
ENST00000530801	962	763	20.2949	23.2746
ENST00000524559	1250	1051	2.39745	1.99602
ENST00000524952	490	291	6.52595	19.6232
ENST00000688963	1101	902	70.2956	68.1931
ENST00000691652	457	258	0	0
ENST00000421673	8016	7817	4	0.447754
ENST00000532016	656	457	0	0
ENST00000527242	404	205	0	0
ENST00000525923	553	354	0	0
ENST00000675028	4209	4010	0	0
ENST00000674892	3111	2912	0	0
ENST00000621226	17448	17249	1	0.0507289
ENST00000529681	17911	17712	0	0
ENST00000526859	461	262	0	0
ENST00000317204	3627	3428	490.826	125.287
ENST00000527886	3666	3467	0	0
ENST00000525159	3429	3230	1.94958e-08	5.28149e-09
ENST00000263646	2283	2084	176.978	74.309
ENST00000530506	1297	1098	8.68862	6.92417
ENST00000527938	549	350	0	0
ENST00000530541	684	485	40.5066	73.0807
ENST00000308219	4089	3890	0	0
ENST00000529433	3211	3012	0	0
ENST00000531197	3163	2964	0	0
ENST00000528841	4528	4329	0	0
ENST00000526678	2091	1892	0	0
ENST00000528596	581	382	0	0
ENST00000524702	580	381	0	0
ENST00000528710	3528	3329	0	0
ENST00000382179	3576	3377	0	0
ENST00000529951	1934	1735	0	0
ENST00000544817	1842	1643	2	1.06515
ENST00000533606	2319	2120	0	0
ENST00000329957	1745	1546	429	242.81
ENST00000331588	4455	4256	104	21.3821
ENST00000397374	4824	4625	0	0
ENST00000382171	942	743	0	0
ENST00000412090	1118	919	0	0
ENST00000399685	899	700	0	0
ENST00000399682	1181	982	0	0
ENST00000399676	933	734	0	0
ENST00000382160	561	362	0	0
ENST00000340134	3714	3515	2.46835	0.614469
ENST00000382123	3807	3608	0	0
ENST00000636615	2228	2029	6.44042	2.77748
ENST00000636579	350	151	0.414661	2.4029
ENST00000636397	4038	3839	0	0
ENST00000427721	1007	808	0	0
ENST00000637815	2019	1820	35.2514	16.9482
ENST00000367196	2190	1991	8.99312	3.95238
ENST00000236671	2055	1856	1350.12	636.521
ENST00000678991	2198	1999	9.80718	4.2929
ENST00000429746	1973	1774	1.33571e-05	6.58835e-06
ENST00000433655	2035	1836	0	0
ENST00000637915	1982	1783	14.98	7.35157
ENST00000636571	1790	1591	16.0577	8.83146
ENST00000637387	1597	1398	0	0
ENST00000636843	1512	1313	35.4699	23.6382
ENST00000438213	1544	1345	0	0
ENST00000430303	575	376	0	0
ENST00000417052	482	283	1	3.09195
ENST00000381968	1424	1225	0	0
ENST00000381978	1291	1092	0	0
ENST00000424556	1506	1307	0	0
ENST00000341958	1370	1171	0	0
ENST00000381911	751	552	0	0
ENST00000381906	745	546	0	0
ENST00000252898	678	479	4	7.30708
ENST00000381905	706	507	0	0
ENST00000676039	1050	851	16	16.4517
ENST00000311604	1585	1386	9941.1	6276.11
ENST00000421485	682	483	1.4943	2.70714
ENST00000446808	574	375	0	0
ENST00000381775	2016	1817	0	0
ENST00000405957	1785	1586	0	0
ENST00000451814	417	218	0	0
ENST00000457279	887	688	0	0
ENST00000429923	582	383	0	0
ENST00000418975	581	382	0	0
ENST00000406638	2640	2441	2.18687	0.783926
ENST00000612798	1881	1682	0	0
ENST00000417766	887	688	0	0
ENST00000432093	968	769	6.69832	7.62182
ENST00000640310	3818	3619	156.521	37.8446
ENST00000278317	1065	866	0	0
ENST00000453458	699	500	0	0
ENST00000381557	1019	820	9	9.6039
ENST00000381579	1042	843	0	0
ENST00000381589	1060	861	0	0
ENST00000381563	844	645	0	0
ENST00000344578	794	595	0	0
ENST00000381558	1258	1059	0	0
ENST00000641119	941	742	0	0
ENST00000641225	877	678	0	0
ENST00000641787	924	725	0	0
ENST00000397301	818	619	0	0
ENST00000397304	720	521	0	0
ENST00000446240	720	521	0	0
ENST00000381519	643	444	42.3844	83.5299
ENST00000397298	673	474	1578.12	2913.27
ENST00000397297	613	414	0	0
ENST00000381514	919	720	1.33536	1.62288
ENST00000397294	551	352	5.98617	14.8808
ENST00000429295	805	606	27.1769	39.2416
ENST00000381395	4527	4328	0	0
ENST00000381406	5179	4980	0	0
ENST00000416167	5580	5381	0	0
ENST00000434045	1583	1384	0	0
ENST00000381392	1005	806	0	0
ENST00000381389	1023	824	0	0
ENST00000418738	934	735	0	0
ENST00000643349	5144	4945	0	0
ENST00000356578	1706	1507	0	0
ENST00000397270	828	629	0	0
ENST00000397262	639	440	0	0
ENST00000381330	465	266	0	0
ENST00000250971	503	304	0	0
ENST00000421783	464	265	0	0
ENST00000512523	297	98	0	0
ENST00000381178	1910	1711	0	0
ENST00000381175	1898	1699	0	0
ENST00000333684	1535	1336	0	0
ENST00000352909	1827	1628	0	0
ENST00000324155	1115	916	0	0
ENST00000416223	483	284	0	0
ENST00000412076	347	148	0	0
ENST00000381168	985	786	0	0
ENST00000331289	1485	1286	0	0
ENST00000381153	2831	2632	8.98294	2.98642
ENST00000456145	1366	1167	1.01706	0.7626
ENST00000437313	734	535	0	0
ENST00000446063	1262	1063	0	0
ENST00000612299	1301	1102	0	0
ENST00000182290	1380	1181	0	0
ENST00000381121	999	800	0	0
ENST00000339046	1202	1003	0	0
ENST00000451520	1236	1037	0	0
ENST00000381117	798	599	2	2.92161
ENST00000475945	606	407	2.89093	6.2153
ENST00000530648	558	359	0	0
ENST00000263645	1482	1283	1708.26	1165.06
ENST00000533417	444	245	0	0
ENST00000492627	886	687	0	0
ENST00000527343	720	521	299.67	503.297
ENST00000464784	794	595	8.63011	12.6917
ENST00000493525	396	197	4.12943	18.3419
ENST00000381036	880	681	30.921	39.7306
ENST00000492252	1136	937	0	0
ENST00000526072	1172	973	1175.34	1056.98
ENST00000481687	890	691	21.1587	26.7935
ENST00000380996	1544	1345	18.3294	11.9246
ENST00000380992	992	793	0	0
ENST00000333256	1472	1273	290.941	199.984
ENST00000437110	974	775	0	0
ENST00000435795	863	664	21.5098	28.3457
ENST00000485682	979	780	33.4142	37.4848
ENST00000440813	851	652	0.00381501	0.00511997
ENST00000496468	912	713	0	0
ENST00000451491	1423	1224	136.802	97.7978
ENST00000533881	3902	3703	0	0
ENST00000155858	3929	3730	0	0
ENST00000533060	3562	3363	0	0
ENST00000528453	3535	3336	0	0
ENST00000496887	582	383	1.62194	3.70556
ENST00000155840	3224	3025	0	0
ENST00000646564	1375	1176	0	0
ENST00000335475	2907	2708	73.3781	23.7103
ENST00000380776	229	30.0513	0	0
ENST00000526095	828	629	0	0
ENST00000414822	1936	1737	0	0
ENST00000430149	1930	1731	0	0
ENST00000440480	1773	1574	9.46293	5.26066
ENST00000380725	1193	994	0	0
ENST00000647251	775	576	0.537074	0.815889
ENST00000625099	1930	1731	1.3673	0.691171
ENST00000526203	664	465	0.632701	1.1906
ENST00000455942	697	498	0	0
ENST00000347936	1542	1343	0	0
ENST00000649076	1543	1344	107.73	70.1386
ENST00000449793	1225	1026	16.9869	14.4872
ENST00000380574	1755	1556	12.2829	6.90736
ENST00000485423	635	436	0	0
ENST00000314222	920	721	61	74.031
ENST00000620138	2479	2280	2084.83	800.121
ENST00000380542	2463	2264	1650.6	637.949
ENST00000526115	1941	1742	88.9921	44.7015
ENST00000492685	850	651	115.653	155.451
ENST00000532325	526	327	0	0
ENST00000448187	888	689	42.8081	54.3659
ENST00000399614	594	395	2.6636	5.90054
ENST00000430811	860	661	38.0578	50.3804
ENST00000529361	555	356	8.46127	20.7972
ENST00000528968	587	388	3.8842	8.75969
ENST00000530064	625	426	17.2139	35.358
ENST00000526842	535	336	0	0
ENST00000531291	572	373	11.3775	26.6905
ENST00000455338	352	153	0	0
ENST00000534372	544	345	2.4499	6.21367
ENST00000531387	2805	2606	83.3739	27.9947
ENST00000397111	2685	2486	318.709	112.179
ENST00000278224	2491	2292	650.54	248.358
ENST00000380525	2737	2538	348.475	120.143
ENST00000529772	2637	2438	26.2432	9.41895
ENST00000439280	1021	822	0	0
ENST00000527330	564	365	3.65917	8.7722
ENST00000263650	3854	3655	0	0
ENST00000478260	2653	2454	0	0
ENST00000389989	3619	3420	0	0
ENST00000534454	1731	1532	0	0
ENST00000525498	2733	2534	0	0
ENST00000471998	2182	1983	0	0
ENST00000348039	2798	2599	0	0
ENST00000533234	554	355	0	0
ENST00000526122	554	355	0	0
ENST00000530372	575	376	0	0
ENST00000533721	774	575	0	0
ENST00000534157	706	507	0	0
ENST00000332314	870	671	0	0
ENST00000389832	4108	3909	0	0
ENST00000528796	881	682	0	0
ENST00000354599	2970	2771	238.842	75.4212
ENST00000399602	3187	2988	7.95197	2.3287
ENST00000343338	3145	2946	0.00034758	0.000103238
ENST00000620374	3342	3143	166.87	46.4573
ENST00000429541	2389	2190	35.2317	14.077
ENST00000005082	2021	1822	199.291	95.7104
ENST00000526601	2008	1809	4.81171e-06	2.32745e-06
ENST00000438262	1018	819	6.88512	7.35608
ENST00000528410	1001	802	7.60981	8.30268
ENST00000528218	891	692	11.3771	14.3861
ENST00000525313	720	521	10.6449	17.8781
ENST00000533036	764	565	0	0
ENST00000529228	558	359	18.9589	46.2101
ENST00000529678	579	380	11.986	27.6001
ENST00000427810	560	361	0	0
ENST00000534569	682	483	0	0
ENST00000530643	575	376	0	0
ENST00000618467	440	241	0.746854	2.71168
ENST00000525502	546	347	12.0485	30.3823
ENST00000526501	610	411	12.1374	25.8406
ENST00000532539	519	320	3.41756	9.34514
ENST00000397067	1154	955	0	0
ENST00000397068	1232	1033	0	0
ENST00000359918	1241	1042	0	0
ENST00000453353	844	645	0	0
ENST00000425767	455	256	0	0
ENST00000250693	1315	1116	0	0
ENST00000250699	1945	1746	22	11.0255
ENST00000526599	1541	1342	0	0
ENST00000534359	1474	1275	0	0
ENST00000533346	580	381	0	0
ENST00000359171	7023	6824	0	0
ENST00000324932	6726	6527	1729.8	231.9
ENST00000650171	6837	6638	100.559	13.2558
ENST00000355260	5628	5429	116.877	18.8377
ENST00000429801	2541	2342	258.117	96.4382
ENST00000524563	841	642	5.94487	8.10263
ENST00000529063	544	345	3.4181	8.66932
ENST00000397004	3923	3724	16.4557	3.86657
ENST00000397007	3698	3499	305.662	76.4394
ENST00000527104	705	506	0.139385	0.241038
ENST00000529379	536	337	0	0
ENST00000397013	939	740	3.02587	3.57798
ENST00000532475	553	354	0	0
ENST00000528216	1815	1616	0.463019	0.250713
ENST00000396986	1837	1638	152.079	81.2408
ENST00000300730	1843	1644	97.602	51.9488
ENST00000396993	1566	1367	57.8361	37.0211
ENST00000477358	1474	1275	12.3182	8.45386
ENST00000532523	1696	1497	14.6155	8.54301
ENST00000459679	795	596	25.8586	37.9646
ENST00000464229	863	664	0	0
ENST00000464261	830	631	20.3023	28.1537
ENST00000490830	810	611	6.30827e-08	9.03416e-08
ENST00000464906	1259	1060	0.013832	0.0114182
ENST00000524661	483	284	5.84242	18.0009
ENST00000475884	745	546	0	0
ENST00000489571	879	680	0	0
ENST00000464441	699	500	0	0
ENST00000532017	1513	1314	41.8522	27.8703
ENST00000465307	1100	901	12.8124	12.443
ENST00000493547	1772	1573	24.4929	13.6248
ENST00000396991	1798	1599	74.3831	40.7047
ENST00000278243	1963	1764	56.6355	28.0937
ENST00000463452	931	732	0	0
ENST00000479072	894	695	0	0
ENST00000496834	1530	1331	0.89314	0.587165
ENST00000469307	798	599	0	0
ENST00000351018	1295	1096	3661.41	2923.19
ENST00000396979	1289	1090	0	0
ENST00000396978	1066	867	28.4036	28.6664
ENST00000533217	886	687	80.1844	102.13
ENST00000525403	625	426	12.6793	26.0439
ENST00000526596	4168	3969	409.815	90.3494
ENST00000300737	4038	3839	1705.54	388.744
ENST00000616714	4356	4157	59.5025	12.5249
ENST00000527651	2184	1985	26.7668	11.7993
ENST00000532610	524	325	0	0
ENST00000532919	580	381	0	0
ENST00000530554	552	353	1.88227	4.66581
ENST00000524822	415	216	0	0
ENST00000525055	583	384	0	0
ENST00000528656	581	382	0	0
ENST00000532990	668	469	0	0
ENST00000533977	2080	1881	59.8107	27.8233
ENST00000532170	3166	2967	34.507	10.1767
ENST00000300738	3142	2943	3797.41	1129.06
ENST00000533349	2863	2664	0	0
ENST00000528442	783	584	5.61911	8.41926
ENST00000534285	2075	1876	12.5439	5.85087
ENST00000533495	2381	2182	55.9228	22.4261
ENST00000639584	585	386	0	0
ENST00000640805	585	386	0	0
ENST00000638166	585	386	0	0
ENST00000640302	585	386	0	0
ENST00000524542	585	386	0	0
ENST00000624801	1124	925	0	0
ENST00000533692	706	507	0	0
ENST00000254436	1935	1736	1196	602.838
ENST00000325719	1067	868	1	1.00809
ENST00000641528	5456	5257	0	0
ENST00000642020	5076	4877	40	7.17673
ENST00000360213	954	755	0	0
ENST00000641896	6591	6392	1	0.136893
ENST00000641486	1115	916	0	0
ENST00000450052	1050	851	0	0
ENST00000530443	975	776	0	0
ENST00000300747	3324	3125	343.099	96.0703
ENST00000531101	3187	2988	0.00178179	0.000521788
ENST00000526337	874	675	3.89876	5.05408
ENST00000533021	764	565	0	0
ENST00000641817	3561	3362	1.37957	0.359057
ENST00000357605	1124	925	0.620435	0.586913
ENST00000530215	2942	2743	0	0
ENST00000396952	3050	2851	0	0
ENST00000641638	2626	2427	7	2.52376
ENST00000396950	2792	2593	0	0
ENST00000532598	582	383	0	0
ENST00000641159	1444	1245	0	0
ENST00000380390	1451	1252	0	0
ENST00000300762	1106	907	1	0.964743
ENST00000690848	1404	1205	0	0
ENST00000624103	960	761	0	0
ENST00000624978	948	749	0	0
ENST00000322110	1136	937	0	0
ENST00000641672	1136	937	0	0
ENST00000322101	972	773	0	0
ENST00000380378	1065	866	0	0
ENST00000322049	984	785	0	0
ENST00000641490	2186	1987	0	0
ENST00000359350	1048	849	0	0
ENST00000641926	3326	3127	0	0
ENST00000623849	966	767	0	0
ENST00000641898	4393	4194	0	0
ENST00000380371	942	743	0	0
ENST00000641819	7300	7101	31	3.81998
ENST00000380370	936	737	0	0
ENST00000321522	978	779	0	0
ENST00000642125	3993	3794	0	0
ENST00000307388	3973	3774	0	0
ENST00000380367	6178	5979	3	0.439048
ENST00000641270	948	749	0	0
ENST00000335295	628	429	0	0
